threshold,accuracy,precision_class_1,recall_class_1,f1_class_1
0.1,0.6549054003257737,0.15116135408944897,0.9878885748889786,0.26220198231985
0.15000000000000002,0.7138203232677609,0.17614253639458247,0.9818328623334679,0.29869810857283224
0.20000000000000004,0.7538904899135447,0.1977280210734277,0.9697214372224465,0.32847863247863246
0.25000000000000006,0.7855657185816314,0.21971233634519638,0.9620508679854662,0.35772723860992267
0.30000000000000004,0.8103245207367498,0.24041598694942903,0.9519580137262817,0.3838827838827839
0.3500000000000001,0.8275404084701166,0.25762077693408164,0.9450948728300363,0.4048772051193359
0.40000000000000013,0.8431023681242952,0.27497621313035203,0.9333871618893823,0.4248047772163528
0.4500000000000001,0.8571858163137451,0.2930901618289237,0.9212757367783609,0.44470427750170516
0.5000000000000001,0.870141586267385,0.31144569914958875,0.9018974566007267,0.46300518134715024
0.5500000000000002,0.8859040220523744,0.33916950728230555,0.8837303189341946,0.49020266487515396
0.6000000000000002,0.8979827089337176,0.3641785957736878,0.8627371820750909,0.5121629718394248
0.6500000000000001,0.9089337175792507,0.39119804400978,0.8397254743641501,0.5337439055683859
0.7000000000000002,0.9206114521989726,0.42644241004896744,0.8086394832458619,0.558405352662392
0.7500000000000002,0.9296579376018043,0.4602792489167068,0.7719014937424303,0.576685266174031
0.8000000000000003,0.9402330535020674,0.5131956397016638,0.7222446507872426,0.6000335401643468
0.8500000000000003,0.947851146472873,0.5711206896551724,0.641905530884134,0.6044478236076791
0.9000000000000002,0.9550181681493547,0.6660175267770204,0.5522809850625757,0.6038402118737586
