threshold,accuracy,precision_class_1,recall_class_1,f1_class_1
0.1,0.7586768575366496,0.19595341324492052,0.9305611626968107,0.3237359550561798
0.15000000000000002,0.7805287557950131,0.20993811766879097,0.9176423092450545,0.34170174383644014
0.20000000000000004,0.7979701791755419,0.22271869724952834,0.9055308841340332,0.3575071724577622
0.25000000000000006,0.8122290439794512,0.23477157360406092,0.8962454582155833,0.37207743233051205
0.30000000000000004,0.8253602305475505,0.24684400360685302,0.884134033104562,0.3859370869680148
0.3500000000000001,0.838967547926325,0.2614473843179896,0.8736374646750101,0.4024549005021387
0.40000000000000013,0.8522240320761809,0.277979745520644,0.8643520387565603,0.4206700068769034
0.4500000000000001,0.8643277784738754,0.2942412778478352,0.8477997577714977,0.43686290825878926
0.5000000000000001,0.8766320010023807,0.3136806825106642,0.8312474767864352,0.45548058843048334
0.5500000000000002,0.8874326525498057,0.33305716652858325,0.8114654824384336,0.47227443609022557
0.6000000000000002,0.8968800902142589,0.35253871083903493,0.7904723455793299,0.48761050927655336
0.6500000000000001,0.9055506828718206,0.37278456085072864,0.7642309245054502,0.5011250827266711
0.7000000000000002,0.913294073424383,0.39331452138050793,0.7315300767056924,0.5115753811405985
0.7500000000000002,0.9223405588272147,0.4242571846078909,0.7032700847799758,0.5292419869360474
0.8000000000000003,0.9299586517980203,0.4557595993322204,0.6612838110617683,0.5396145610278372
0.8500000000000003,0.938253351710312,0.5021922428330523,0.6011303996770286,0.5472252848217567
0.9000000000000002,0.945520611452199,0.5664182376150811,0.5215987081146548,0.5430853299705759
