model,accuracy,roc_auc,pr_auc,precision_class_1,recall_class_1,f1_class_1,threshold
"Logistic Regression Test Performance, threshold=0.85",0.9425385290063901,0.9415148038390487,0.6024940846679324,0.5320266013300665,0.6138933764135702,0.5700356272267016,0.8500000000000003
"Gradient Boosting Test Performance, threshold=0.85",0.9468738253351711,0.9493623004304412,0.652811670783707,0.5620641562064156,0.6510500807754442,0.6032934131736527,0.8500000000000003
"Top-30 Feature Gradient Boosting Test Performance, threshold=0.85",0.9459967422628743,0.9490045903172797,0.6515662083851396,0.5554787417905289,0.6490306946688207,0.5986217172657851,0.8500000000000003
"Neural Network Test Performance, threshold=0.85",0.9380027565467987,0.9277573670878252,0.5559796423016182,0.5003373819163293,0.5989499192245558,0.5452205882352941,0.8500000000000003
