threshold,accuracy,precision_class_1,recall_class_1,f1_class_1
0.1,0.6326274902894374,0.14329214733266968,0.9878885748889786,0.2502812723739388
0.15000000000000002,0.683097356221025,0.16146214794593514,0.9790068631408962,0.27720621856424327
0.20000000000000004,0.7213131186568099,0.1788049940546968,0.9713362939039161,0.3020146864997176
0.25000000000000006,0.7525873950632753,0.19588815789473685,0.9616471538150989,0.3254765320762451
0.30000000000000004,0.7784738754542038,0.21319751194446948,0.9547840129188534,0.3485630066322771
0.3500000000000001,0.800676606941486,0.23059517953762912,0.9463060153411385,0.37082740072773296
0.40000000000000013,0.8217516601929583,0.2502155172413793,0.9374243035930561,0.39499872416432763
0.4500000000000001,0.838967547926325,0.2682783710832062,0.9228905934598305,0.4157119476268412
0.5000000000000001,0.8561583761433404,0.289511030834731,0.9059345983044005,0.4387954634337114
0.5500000000000002,0.8720962285427891,0.3120618114179425,0.8805006055712555,0.4608070990914853
0.6000000000000002,0.8875579501315625,0.3392514395393474,0.8562777553492128,0.4859663191659984
0.6500000000000001,0.9016664578373638,0.36866944999092394,0.8199434800161486,0.5086401202103682
0.7000000000000002,0.9142463350457336,0.4021536550010354,0.7840129188534517,0.531617848343827
0.7500000000000002,0.9254729983711314,0.44016373705754874,0.7379895034315704,0.5514328808446456
0.8000000000000003,0.9350958526500438,0.4838709677419355,0.6842955187727089,0.5668896321070234
0.8500000000000003,0.9444430522490916,0.5462304409672831,0.6201049656842955,0.580828133862734
0.9000000000000002,0.9502568600426011,0.6196498054474708,0.514331853048042,0.5621001544231193
