threshold,accuracy,precision_class_1,recall_class_1,f1_class_1
0.1,0.6631499812053627,0.15425364192470203,0.9874848607186112,0.2668266608486964
0.15000000000000002,0.7226162135070793,0.18035714285714285,0.9786031489705289,0.3045800087956273
0.20000000000000004,0.7603307856158377,0.20215180297554006,0.9709325797335486,0.334631974398219
0.25000000000000006,0.7928580378398697,0.22545764962534384,0.959628582963262,0.3651305683563748
0.30000000000000004,0.8135822578624232,0.24332712600869025,0.9495357287040775,0.38738367783908423
0.3500000000000001,0.8304473123668713,0.26063176693827433,0.942672587807832,0.4083595662819168
0.40000000000000013,0.84751284300213,0.28112108711477796,0.9354057327412192,0.4323164474297976
0.4500000000000001,0.861145219897256,0.2986859395532194,0.9176423092450545,0.45067909190046596
0.5000000000000001,0.8746773587269766,0.3195596225336002,0.9023011707710941,0.471967057332911
0.5500000000000002,0.8876080691642652,0.3428303068252974,0.884134033104562,0.494077834179357
0.6000000000000002,0.9002130058889863,0.3698322089603875,0.8631408962454582,0.51780092031969
0.6500000000000001,0.9117153238942488,0.39977002683020313,0.8421477593863544,0.5421702404158545
0.7000000000000002,0.9223154993108633,0.43270684813134586,0.8086394832458619,0.5637489445538981
0.7500000000000002,0.9306352587395064,0.4644515025653555,0.7674606378683891,0.5786910197869102
0.8000000000000003,0.9403332915674727,0.5139130434782608,0.7157852240613646,0.598279061920027
0.8500000000000003,0.9479764440546298,0.572200216060497,0.6415018167137666,0.6048724781119147
0.9000000000000002,0.9545921563713821,0.6635514018691588,0.5446104158255954,0.5982261640798227
